day,meal,item,weather,event,demand
Thursday,Breakfast,Sandwich,Cloudy,Sports Meet,192
Sunday,Breakfast,Sandwich,Rainy,Exam,89
Tuesday,Breakfast,Dosa,Cold,Holiday,131
Wednesday,Breakfast,Sandwich,Cloudy,Sports Meet,239
Monday,Lunch,Chapati,Rainy,Holiday,138
Saturday,Lunch,Chapati,Cloudy,Festival,201
Saturday,Lunch,Noodles,Cloudy,Holiday,215
Monday,Snacks,Puff,Cloudy,No,109
Monday,Snacks,Noodles,Sunny,Sports Meet,184
Monday,Dinner,Chapati,Cold,Exam,10
Monday,Dinner,Noodles,Cloudy,Holiday,104
Wednesday,Dinner,Noodles,Rainy,Exam,112
Thursday,Snacks,Puff,Rainy,No,165
Thursday,Snacks,Samosa,Rainy,Festival,278
Wednesday,Dinner,Noodles,Rainy,No,127
Sunday,Dinner,Chapati,Cloudy,Exam,145
Friday,Breakfast,Sandwich,Sunny,No,155
Friday,Snacks,Samosa,Sunny,Festival,253
Saturday,Snacks,Puff,Cloudy,Exam,82
Tuesday,Lunch,Biryani,Cloudy,Exam,145
Saturday,Snacks,Sandwich,Cold,Sports Meet,209
Sunday,Lunch,Chapati,Cloudy,Exam,81
Friday,Breakfast,Dosa,Rainy,Holiday,134
Friday,Breakfast,Sandwich,Cold,Holiday,141
Wednesday,Lunch,Noodles,Sunny,Festival,198
Wednesday,Lunch,Biryani,Cold,Exam,118
Thursday,Lunch,Biryani,Cloudy,Holiday,199
Monday,Breakfast,Idli,Sunny,No,152
Friday,Snacks,Noodles,Sunny,No,148
Saturday,Snacks,Puff,Sunny,Sports Meet,197
Thursday,Breakfast,Dosa,Cold,No,114
Wednesday,Snacks,Noodles,Rainy,Festival,254
Sunday,Dinner,Biryani,Rainy,Exam,138
Friday,Snacks,Sandwich,Cold,Exam,141
Friday,Dinner,Rice,Sunny,Sports Meet,238
Sunday,Breakfast,Dosa,Cloudy,Exam,97
Tuesday,Breakfast,Idli,Cloudy,Festival,195
Friday,Lunch,Biryani,Cloudy,No,212
Monday,Breakfast,Dosa,Cold,Sports Meet,172
Monday,Breakfast,Dosa,Cold,Holiday,136
Monday,Dinner,Rice,Cloudy,Exam,92
Thursday,Dinner,Rice,Rainy,Exam,76
Tuesday,Dinner,Noodles,Cloudy,Exam,124
Monday,Lunch,Chapati,Rainy,Sports Meet,169
Tuesday,Breakfast,Dosa,Cloudy,Holiday,179
Monday,Breakfast,Sandwich,Cold,No,95
